,Property_details,Area,Price,Area Type,Number of Sq ft
215,"4 BHK Independent House for Sale in Neelikonam Palayam, Coimbatore",4 cent,₹1.50 Cr ,Carpet Area,4 cent
216,2 BHK Independent House for Sale in Coimbatore,1200 sqft,₹29 Lac ,Super Area,1200 sqft
217,"3 BHK Independent House for Sale in Cheran ma Nagar, Coimbatore",1200 sqft,₹1.20 Cr ,Carpet Area,1200 sqft
218,"2 BHK Independent House for Sale in Ramanathapuram, Coimbatore",1080 sqft,₹55 Lac ,Super Area,1080 sqft
219,"3 BHK Independent House for Sale in Edayarpalayam, Coimbatore",960 sqft,₹75 Lac ,Super Area,960 sqft
220,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",1600 sqft,₹85 Lac ,Carpet Area,1600 sqft
221,"4 BHK Independent House for Sale in Mettupalayam Road, Coimbatore",2556 sqft,₹85 Lac ,Carpet Area,2556 sqft
222,"3 BHK Independent House for Sale in Kovai Pudur, Coimbatore",1850 sqft,₹80 Lac ,Super Area,1850 sqft
223,"3 BHK Independent House for Sale in Pattanam, Coimbatore",1306 sqft,₹47 Lac ,Carpet Area,1306 sqft
224,"2 BHK Independent House for Sale in Pattanam, Coimbatore",1430 sqft,₹29 Lac ,Carpet Area,1430 sqft
225,"3 BHK Independent House for Sale in Ettimadai, Coimbatore",2100 sqft,₹55 Lac ,Super Area,2100 sqft
226,"2 BHK Independent House for Sale in Othakal Mandapam, Coimbatore",950 sqft,₹35 Lac ,Carpet Area,950 sqft
227,"3 BHK Independent House for Sale in Rathinapuri, Coimbatore",1200 sqft,₹40 Lac ,Super Area,1200 sqft
228,"1 BHK Independent House for Sale in Sulur, Coimbatore",120 sqft,₹18.9 Lac ,Carpet Area,120 sqft
229,"4 BHK Independent House for Sale in Rajiv Gandhi Nagar, Coimbatore",1800 sqft,₹48.5 Lac ,Carpet Area,1800 sqft
230,"4 BHK Independent House for Sale in Vilankurichi, Coimbatore",1500 sqft,₹95 Lac ,Carpet Area,1500 sqft
231,"5 BHK Independent House for Sale in Velandi Palayam, Coimbatore",5 cent,₹68 Lac ,Carpet Area,5 cent
232,"3 BHK Independent House for Sale in Vellakinar, Coimbatore",3200 sqft,₹2.25 Cr ,Carpet Area,3200 sqft
233,"2 BHK Independent House for Sale in Maniyakarampalayam, Coimbatore",3000 sqft,₹1.10 Cr ,Super Area,3000 sqft
234,"2 BHK Independent House for Sale in Annur, Coimbatore",920 sqft,₹20 Lac ,Carpet Area,920 sqft
235,"1 BHK Independent House for Sale in Sulur, Coimbatore",500 sqft,₹17 Lac ,Carpet Area,500 sqft
236,"4 BHK Independent House for Sale in Villankurichi Road, Coimbatore",3000 sqft,₹1.75 Cr ,Super Area,3000 sqft
237,"3 BHK Independent House for Sale in Edayarpalayam, Coimbatore",1322 sqft,₹53 Lac ,Carpet Area,1322 sqft
238,"2 BHK Independent House for Sale in Vilankurichi, Coimbatore",2100 sqft,₹80 Lac ,Super Area,2100 sqft
239,"4 BHK Independent House for Sale in pollachi, Coimbatore",2900 sqft,₹1.20 Cr ,Carpet Area,2900 sqft
240,"4 BHK Independent House for Sale in Sundarapuram, Coimbatore",1210 sqft,₹65 Lac ,Carpet Area,1210 sqft
241,"3 BHK Independent House for Sale in Thopampatti, Coimbatore",1200 sqft,₹56 Lac ,Carpet Area,1200 sqft
242,"2 BHK Independent House for Sale in Sukrawarpet, Coimbatore",1000 sqft,₹70 Lac ,Carpet Area,1000 sqft
243,"1 BHK Independent House for Sale in Ondipudur, Coimbatore",1800 sqft,₹60 Lac ,Carpet Area,1800 sqft
244,"2 BHK Independent House for Sale in Thondamuthur, Coimbatore",900 sqft,₹19 Lac ,Carpet Area,900 sqft
245,"3 BHK Independent House for Sale in Kovai Pudur, Coimbatore",1984 sqft,₹1 Cr ,Carpet Area,1984 sqft
246,"2 BHK Independent House for Sale in pollachi, Coimbatore",1300 sqft,₹46 Lac ,Super Area,1300 sqft
